"gene_id"	"expo_RPKM_rep1"	"expo_RPKM_rep2"	"stat_RPKM_rep1"	"stat_RPKM_rep2"
"TK1311"	15386.8929002292	15070.8126943227	12928.4085632448	15827.8646366377
"TK1312"	614.127102001013	691.477053939047	760.481372635384	640.008376501661
"TK1313"	291.934381634938	243.123495813781	222.641271862505	570.672283493229
"TK1314"	52.4131056478917	27.9746839838382	37.7044779328727	27.931521577486
"TK1315"	147.926375308422	77.5958669027863	129.824091678827	121.182431551905
"TK1316"	119.928775815943	113.650312301883	552.009122708165	679.086324670103
"TK1317"	37.4609028013273	25.131305799717	178.641299501141	232.160550847318
"TK1318"	181.29981568354	161.717319210477	209.908916927589	250.178570759922
"TK1319"	305.76215365726	169.838985969055	188.783797696252	214.925476811812
"TK1320"	2267.63416308638	1030.05025760382	1133.12052646377	1866.53294604729
"TK1321"	2294.68946257021	1409.86078410742	1335.45956193439	1953.3575265538
"TK1322"	2682.18596777674	1326.74342135606	1867.25201653996	2238.05373478944
"TK1323"	388.236675513142	341.202275785939	169.308798643447	93.5316936350884
"TK1324"	425.116798028538	587.79017895066	227.242516999052	115.240478162908
"TK1325"	2616.09001886607	3891.36965222387	2413.38802101398	312.616171047105
"TK1326"	2482.90385764	3730.20484375416	2174.86374701657	509.15640765788
"TK1327"	503.403171142005	452.746922375207	541.91240342138	472.210052451583
"TK1328"	240.298813881931	303.92155692698	219.498230009004	277.830953643022
"TK1329"	86.4946905285098	136.586425081908	89.936059157982	253.920099151936
"TK1330"	650.69380657182	492.585157158718	433.038742826053	595.418289237141
"TK1331"	4240.45817441523	5586.69002105118	6586.65882727539	5396.2280872255
"TK1332"	229.486760757917	226.623216503614	182.534073555312	248.856165550615
"TK1333"	64.4724798399244	137.967257410196	27.6814735543558	89.3615197473964
"TK1334"	339.524895465155	152.589373646987	163.366201233521	111.642916740068
"TK1335"	303.680032882371	166.3395563131	159.6434001799	158.0253345533
"TK1336"	92.3808875354557	122.201221611881	98.2241565351325	57.6629328031691
"TK1337"	94.1879679695514	136.437745513211	113.511370241181	83.2103736961827
"TK1338"	36.5055621479035	56.5679392185036	31.6834867991196	24.7453659467639
"TK1339"	22.4329717578694	43.9068879608182	20.487651771692	13.5283041241953
"TK1340"	29.2893463744807	98.4701164173951	24.7846630606016	9.89814637870555
"TK1341"	74.8021555797652	222.893872484939	46.9421558395782	28.993428116476
"TK1342"	216.150793955532	124.701712127758	117.44357399212	308.509484985658
"TK1343"	145.002574211549	97.9002618531552	141.463273043946	53.4291101541752
"TK1344"	90.7186746454602	94.8451480086933	110.827763822821	171.94038144945
"TK1345"	14.6367519844155	4.12812338485237	9.96833331262622	12.6769070113663
"TK1346"	2.47118104546148	0	0.991662751602783	0
"TK1347"	13.8535907094053	11.0285055824062	8.06998280263262	3.90773594203295
"TK1348"	9.76476393692059	4.38142182943749	5.16531132266886	3.44993645626728
"TK1349"	1.12051101326072	0	0.674476503847481	1.63301220126622
"TK1350"	9.52434361271611	1.88036020180026	5.04508424877916	2.22089659372206
"TK1351"	9.00006781752073	3.88147748078035	5.68045349111915	6.11255943226255
"TK1352"	20.4913235068019	11.6251017112844	11.058495753963	8.92477765637921
"TK1353"	64.5718211031601	54.5782516200498	60.0512724527257	110.103771807407
"TK1354"	24.623912754827	36.6899551570782	19.0169472792119	32.5009257617862
"TK1355"	1.63508044853495	1.61404309167404	0.787371712645986	1.90634900748675
"TK1356"	1.95649854526551	0.536479372838875	1.04683371781178	1.26727337730217
"TK1357"	2.69066529026972	1.81094080430201	1.91408420353507	1.42593681779907
"TK1358"	1.14292123352593	0	0	2.22089659372206
"TK1359"	4.71022084119779	0	1.66779644587741	1.61519752270695
"TK1360"	0.916628558216287	0	0.96556636340271	0
"TK1361"	3.60295893244195	0.927809310098811	1.99902411173217	2.19167427012045
"TK1362"	114.292123352593	125.682106752452	180.843575756992	134.634663971752
"TK1363"	9.52434361271611	0	6.03478977126694	2.9222323601606
"TK1364"	13.3855639962497	2.90403119969152	9.73954488181305	7.71740129092607
"TK1365"	1.21587365268716	0	0.9758383459921	2.36265595076815
"TK1366"	1.09370452968989	1.79938775291891	0.877787603093373	0
"TK1367"	4.7893842166801	4.29796617554344	5.76581057003332	11.4217539105706
"TK1368"	2.02645608781194	0	0	2.36265595076815
"TK1369"	2.96477622185715	1.46331533214028	1.78460709189217	5.18497259234722
"TK1370"	2.57801781998331	1.41380466300771	4.82783181701355	15.0286235665402
"TK1371"	3.92419307648389	6.45617236669616	14.9600625402737	11.4380940449205
"TK1372"	17.2982673182303	24.3938620774087	17.8499295288501	28.811631486124
"TK1373"	2.18740905937978	3.59877550583781	3.95004421392018	2.12525989829862
"TK1374"	1.63608356537455	1.15359521582838	5.06478061784857	0
"TK1375"	7.98087290867911	4.45935225723381	9.60795778603289	26.3347422180481
"TK1376"	269.435648224788	206.159973932317	290.382450463685	210.048653743592
"TK1377"	84.9592654729853	45.3519158133643	105.173286076759	57.6856258109626
"TK1378"	343.059530511871	201.596310096854	199.554250224875	442.043841250448
"TK1379"	703.942467970084	709.499306912696	1203.11937975166	944.32287526166
"TK1380"	399.136773213632	491.807863850931	689.895385163481	745.434517213869
"TK1381"	671.219842062489	319.733835086036	318.252910210807	75.8020304575405
"TK1382"	384.572519293905	216.823293627782	239.331506264265	304.559435165142
"TK1383"	564.744027625676	228.795273109222	373.940690115765	389.619720343725
"TK1384"	109.898794457227	57.6082815697841	95.9915888986928	171.249857829171
"TK1385"	53.1718751328612	466.708107641071	123.404938459346	159.776733361299
"TK1386"	31.9635283428228	66.1042434310873	46.2031349223498	87.2612251004531
"TK1387"	115.5908974816	177.35215539707	149.059307350293	235.339326550661
"TK1388"	93.4333798749707	96.9959561109635	150.66767439793	140.690281955244
"TK1389"	77.6978319604883	99.8673855280865	121.098725243147	125.367759160031
"TK1390"	57.1933288902556	29.3952091100288	236.378073194548	217.129840676549
"TK1391"	302.785528339138	167.264599346186	246.921142408536	249.205257318812
"TK1392"	439.363112925682	248.492403783434	394.485600113316	412.682316287113
"TK1393"	266.323659248459	128.470247344474	265.090088776608	482.038898261553
"TK1394"	3.08535074778128	1.65524665651431	27.696285168554	24.6331840500862
"TK1395"	9.40292158807669	5.17794242209148	20.3945735706987	9.73978108414569
"TK1396"	243.027055773632	156.927582816016	258.229179779806	154.109100542267
"TK1397"	456.5556670117	294.909039692534	384.744543368998	254.837464373469
"TK1398"	9.35918158474994	5.43456705722618	5.03713088422512	16.0469407060842
"TK1399"	288.746816035951	150.539101199845	85.6090675645944	130.909154058104
"TK1400"	189.542309251408	111.606653600466	90.9707152296768	81.4273131282017
"TK1401"	215.219791886432	122.501826358741	136.443984860335	77.4025464326822
"TK1402"	91.6409031908309	63.2210104931607	301.378445516463	180.087535906263
"TK1403"	1154.15903279669	983.151055268659	545.466748453536	435.540498930906
"TK1404"	235.559822308866	382.957866451151	265.367555620804	221.464054697918
"TK1405"	692.71655735885	838.775320375465	1630.18411502022	940.11229408224
"TK1406"	384.214773153742	220.783866391154	273.125092119811	149.723365868903
"TK1407"	325.950666294113	204.973615890898	121.488149502177	36.6193636827454
"TK1408"	832.342405201919	488.391057643646	700.891214108562	906.683292707216
"TK1409"	181.487492462779	170.268837170889	126.397958988741	73.4469739656114
"TK1410"	3726.38235751461	3261.3593227494	3657.04450515391	3086.31340126139
"TK1411"	2210.78778920602	2252.68090011183	2464.32521478567	1899.66965497922
"TK1412"	87.85721046832	56.3812870555493	66.6005841318784	248.935662153461
"TK1413"	18746.1602913692	23998.2128612025	15193.0915984507	9087.07739283518
"TK1414"	119.921071611929	93.4140400037815	105.085461284674	128.403015054594
"TK1415"	11289.9188099234	9011.62626712773	7662.50835534748	5582.77881246882
"TK1416"	9198.24201614452	6753.47373456754	5768.77245902478	3473.03027014344
"TK1417"	9401.02534218593	7579.87661654928	5339.46315067995	5191.43120692507
"TK1418"	7123.97905828076	4793.59431726544	6100.05778329614	5265.80391557761
"TK1419"	1641.84711115974	1393.43723251312	1594.03833013233	1355.81372839451
"TK1420"	861.618457850902	886.310322145851	674.330671089892	881.155729617292
"TK1421"	2016.20413619267	1840.10271309088	1565.36309592321	2378.99431734295
"TK1422"	256.621678758268	311.247886703857	250.852488653456	314.400764734736
"TK1423"	342.010520638442	425.217818361649	443.529617325523	290.230804861405
